onet_major_x,onet_major_y,source,target,value
47,43,Construction and Extraction,Office and Administrative Support,19
47,45,Construction and Extraction,"Farming, Fishing, and Forestry",2
47,47,Construction and Extraction,Construction and Extraction,146
47,49,Construction and Extraction,"Installation, Maintenance, and Repair",9
47,51,Construction and Extraction,Production,12
47,53,Construction and Extraction,Transportation and Material Moving,7
49,11,"Installation, Maintenance, and Repair",Management,143
49,13,"Installation, Maintenance, and Repair",Business and Financial Operations,73
49,15,"Installation, Maintenance, and Repair",Computer and Mathematical,97
49,17,"Installation, Maintenance, and Repair",Architecture and Engineering,84
49,19,"Installation, Maintenance, and Repair","Life, Physical, and Social Science",12
49,21,"Installation, Maintenance, and Repair",Community and Social Service,6
49,23,"Installation, Maintenance, and Repair",Legal,3
49,25,"Installation, Maintenance, and Repair",Educational Instruction and Library,18
49,27,"Installation, Maintenance, and Repair","Arts, Design, Entertainment, Sports, and Media",21
49,29,"Installation, Maintenance, and Repair",Healthcare Practitioners and Technical,10
49,31,"Installation, Maintenance, and Repair",Healthcare Support,1
49,33,"Installation, Maintenance, and Repair",Protective Service,4
49,35,"Installation, Maintenance, and Repair",Food Preparation and Serving Related,5
49,37,"Installation, Maintenance, and Repair",Building and Grounds Cleaning and Maintenance,4
49,39,"Installation, Maintenance, and Repair",Personal Care and Service,1
49,41,"Installation, Maintenance, and Repair",Sales and Related,39
49,43,"Installation, Maintenance, and Repair",Office and Administrative Support,39
49,47,"Installation, Maintenance, and Repair",Construction and Extraction,12
49,49,"Installation, Maintenance, and Repair","Installation, Maintenance, and Repair",375
49,51,"Installation, Maintenance, and Repair",Production,22
49,53,"Installation, Maintenance, and Repair",Transportation and Material Moving,13
51,11,Production,Management,354
51,13,Production,Business and Financial Operations,112
51,15,Production,Computer and Mathematical,65
51,17,Production,Architecture and Engineering,152
51,19,Production,"Life, Physical, and Social Science",108
51,21,Production,Community and Social Service,7
51,23,Production,Legal,12
51,25,Production,Educational Instruction and Library,35
51,27,Production,"Arts, Design, Entertainment, Sports, and Media",111
51,29,Production,Healthcare Practitioners and Technical,10
51,31,Production,Healthcare Support,2
51,33,Production,Protective Service,5
51,35,Production,Food Preparation and Serving Related,15
51,37,Production,Building and Grounds Cleaning and Maintenance,3
51,39,Production,Personal Care and Service,11
51,41,Production,Sales and Related,85
51,43,Production,Office and Administrative Support,72
51,45,Production,"Farming, Fishing, and Forestry",1
51,47,Production,Construction and Extraction,6
51,49,Production,"Installation, Maintenance, and Repair",26
51,51,Production,Production,474
51,53,Production,Transportation and Material Moving,20
53,11,Transportation and Material Moving,Management,264
53,13,Transportation and Material Moving,Business and Financial Operations,180
53,15,Transportation and Material Moving,Computer and Mathematical,63
53,17,Transportation and Material Moving,Architecture and Engineering,46
53,19,Transportation and Material Moving,"Life, Physical, and Social Science",25
53,21,Transportation and Material Moving,Community and Social Service,15
53,23,Transportation and Material Moving,Legal,18
53,25,Transportation and Material Moving,Educational Instruction and Library,27
53,27,Transportation and Material Moving,"Arts, Design, Entertainment, Sports, and Media",43
53,29,Transportation and Material Moving,Healthcare Practitioners and Technical,24
53,31,Transportation and Material Moving,Healthcare Support,4
53,33,Transportation and Material Moving,Protective Service,17
53,35,Transportation and Material Moving,Food Preparation and Serving Related,12
53,37,Transportation and Material Moving,Building and Grounds Cleaning and Maintenance,1
53,39,Transportation and Material Moving,Personal Care and Service,15
53,41,Transportation and Material Moving,Sales and Related,109
53,43,Transportation and Material Moving,Office and Administrative Support,106
53,47,Transportation and Material Moving,Construction and Extraction,3
53,49,Transportation and Material Moving,"Installation, Maintenance, and Repair",23
53,51,Transportation and Material Moving,Production,36
53,53,Transportation and Material Moving,Transportation and Material Moving,387
